Date,Open,High,Low,Close,Volume,Adj Close
04-01-2010,213.429998,214.499996,212.380001,214.009998,123432400,
05-01-2010,214.599998,215.589994,213.249994,214.379993,150476200,
06-01-2010,214.379993,215.23,210.750004,210.969995,138040000,
07-01-2010,211.75,212.000006,209.050005,210.58,119282800,
08-01-2010,210.299994,212.000006,209.060005,211.980005,111902700,
11-01-2010,212.799997,213.000002,208.450005,210.110003,115557400,
12-01-2010,209.189995,209.769995,206.419998,207.720001,148614900,
13-01-2010,207.870005,210.929995,204.099998,210.650002,151473000,
14-01-2010,210.110003,210.459997,209.020004,209.43,108223500,
15-01-2010,210.929995,211.599997,205.869999,205.93,148516900,
19-01-2010,208.330002,215.189999,207.240004,215.039995,182501900,
20-01-2010,214.910006,215.549994,209.500002,211.73,153038200,
21-01-2010,212.079994,213.309996,207.210003,208.069996,152038600,
22-01-2010,206.780006,207.499996,197.16,197.75,220441900,
25-01-2010,202.510002,204.699999,200.190002,203.070002,266424900,
26-01-2010,205.950001,213.710005,202.580004,205.940001,466777500,
27-01-2010,206.849995,210.58,199.530001,207.880005,430642100,
28-01-2010,204.930004,205.500004,198.699995,199.289995,293375600,
29-01-2010,201.079996,202.199995,190.250002,192.060003,311488100,
01-02-2010,192.369997,196,191.299999,194.729998,187469100,
02-02-2010,195.909998,196.319994,193.379993,195.859997,174585600,
03-02-2010,195.169994,200.200003,194.420004,199.229994,153832000,
04-02-2010,196.730003,198.370001,191.570005,192.050003,189413000,
05-02-2010,192.630003,196,190.850002,195.460001,212576700,
08-02-2010,195.690006,197.880003,193.999994,194.119997,119567700,
09-02-2010,196.419996,197.499994,194.749998,196.190004,158221700,
10-02-2010,195.889997,196.6,194.26,195.120007,92590400,
11-02-2010,194.880001,199.750006,194.059996,198.669994,137586400,
12-02-2010,198.109995,201.639996,195.500002,200.379993,163867200,
16-02-2010,201.940002,203.690002,201.520006,203.399996,135934400,
17-02-2010,204.190001,204.310003,200.860004,202.550003,109099200,
18-02-2010,201.629995,203.889994,200.920006,202.929998,105706300,
19-02-2010,201.860001,203.200005,201.109997,201.669996,103867400,
22-02-2010,202.339998,202.500002,199.190006,200.419994,97640900,
23-02-2010,199.999998,201.330002,195.709993,197.059998,143773700,
